"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"C8,C3";"C_0805_2012Metric";2;"10uF";;;
2;"R14,R9,R16,R15,R18";"R_0402_1005Metric";5;"10kOm";;;
3;"C5,C4,C9,C6,C7,C1";"C_0603_1608Metric";6;"100nF";;;
4;"PT1";"Potentiometer_Bourns_TC33X_Vertical";1;"~";;;
5;"J2,J3,J5";"JST_EH_S4B-EH_1x04_P2.50mm_Horizontal";3;"Conn_01x04_Pin";;;
6;"R10";"R_0402_1005Metric";1;"25kOm";;;
7;"C11,C10";"C_0603_1608Metric";2;"20pF";;;
8;"H1,H2,H3,H4";"MountingHole_3.2mm_M3";4;"MountingHole_M3";;;
9;"C16";"C_0603_1608Metric";1;"0.22uF";;;
10;"C14";"CP_Elec_6.3x7.7";1;"100uF";;;
11;"R11,R5,R6";"R_0402_1005Metric";3;"10kOm";;;
12;"J4";"PinHeader_1x02_P2.54mm_Vertical";1;"Conn_01x02_Pin";;;
13;"X1";"Crystal_SMD_3225-4Pin_3.2x2.5mm";1;"Crystal_Generic";;;
14;"C13,C15,C17,C18";"C_0603_1608Metric";4;"0.1uF";;;
15;"J6";"PinHeader_1x02_P2.54mm_Vertical";1;"active cooling system connector";;;
16;"U2";"QFN-48-1EP_7x7mm_P0.5mm_EP5.6x5.6mm";1;"STM32G431CBUx";;;
17;"R4";"R_0603_1608Metric";1;"100kOm";;;
18;"J1";"PinHeader_1x04_P2.54mm_Vertical";1;"Conn_01x04";;;
19;"U5";"A4988-QFN-28P";1;"A4988";;;
20;"U3";"SOIC-8_3.9x4.9mm_P1.27mm";1;"SN65HVD230";;;
21;"U1";"JW5017S";1;"JW5017S";;;
22;"C12";"C_0603_1608Metric";1;"10uF";;;
23;"U4";"AS5600L-ASOM";1;"AS5600L-ASOM";;;
24;"R1";"R_0603_1608Metric";1;"16kOm";;;
25;"L1";"SNR3015K-4R7M";1;"4.7uH";;;
26;"C2";"C_0805_2012Metric";1;"4.7uF";;;
27;"R12,R13";"R_0603_1608Metric";2;"100mOm";;;
28;"R7,R8";"R_0603_1608Metric";2;"4.7kOm";;;
29;"R2";"R_0603_1608Metric";1;"100kOm";;;
30;"R3";"R_0603_1608Metric";1;"5.1kOm";;;
